Designator,Mid X,Mid Y,Layer,Rotation
"R114",-8.003,-2.500,top,0.000
"R115",-40.500,19.750,top,180.000
"R116",-40.500,21.750,top,180.000
"R117",-39.300,-26.100,top,90.000
"R118",-35.000,-26.100,top,90.000
"R119",-30.700,-26.100,top,90.000
"R120",-26.400,-26.100,top,90.000
"R121",-37.400,-28.400,top,90.000
"R122",-33.100,-28.400,top,90.000
"R123",-28.800,-28.400,top,90.000
"R124",-24.500,-28.400,top,90.000
"R125",-37.500,-25.400,top,270.000
"R126",-33.200,-25.400,top,270.000
"R127",-28.900,-25.400,top,270.000
"R128",-24.600,-25.400,top,270.000
"R129",-37.800,-6.300,top,0.000
"R130",-35.300,-6.300,top,0.000
"R131",-32.700,-6.300,top,0.000
"R132",-30.200,-6.300,top,0.000
"U1",-23.800,-8.600,top,90.000
"U2",23.800,8.600,top,270.000
"U3",32.000,-0.500,top,270.000
"U4",17.200,-8.600,top,90.000
"U5",-17.200,8.600,top,270.000
"U6",7.000,-12.000,top,0.000
"U7",27.500,-12.000,top,0.000
"U8",13.500,12.000,top,180.000
"U9",-13.500,-12.000,top,0.000
"U10",34.000,12.000,top,180.000
"U11",-7.000,12.000,top,180.000
"U12",-27.500,12.000,top,180.000
"U13",-34.000,-12.000,top,0.000
